Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Conventional lime (commercial), short distance, avoided product Aggregate",Conventional lime (commercial),0,50,0,Aggregate,69.4854112,17876.56648,30.2144105,17852.85315,5.935034313,65605.23358,62836.85313,2873.026913,171171.4199,0.374715682,10.59157671,115.9478175,8.76738E-06,3.41452E-06,5.35474E-06,0.000110136,0.000105304,4.73868E-06,179.602308,30472.80941,0.000222488,0.037415372,0.000800651,56.0144986,984.0978276,3768.163774
"Conventional lime (commercial), short distance, avoided product Filler",Conventional lime (commercial),0,50,0,Filler,16.32647646,7448.406658,20.29914768,7439.927827,0.615793789,29272.35068,27746.99776,1629.999385,23419.446,0.134949087,0.601332374,1.886737966,-1.06E-06,-4.25E-06,3.19119E-06,-8.28E-05,-7.75E-05,-5.36E-06,-64.49437737,-4776.60498,-0.000123896,-0.180330389,0.000397294,9.895989481,-2317.190587,3768.163774
"Conventional lime (commercial), short distance, building savings considered",Conventional lime (commercial),0,50,1,None,24.09998269,-18524.22887,-136.1215819,-18357.6502,-18.02097626,33157.00304,34586.04706,-1324.397561,-373721.3634,-1.561426435,0.770649998,0.457165539,6.7075E-07,-1.18E-06,1.85536E-06,-3.92E-05,-3.63E-05,-2.99E-06,-559.5800671,-1584.854972,-0.000349904,-0.005612641,0.000584704,-3.833154209,-1878.726601,-16882.38526
"Conventional lime (commercial), short distance, building savings considered, avoided product SCM",Conventional lime (commercial),0,50,1,SCM,-27.43092567,-44055.35421,-141.7025353,-43880.08342,-21.1321471,3993.506736,6679.783857,-2581.630657,-468313.5909,-1.841577244,-14.50809864,-176.7849195,-3.06E-06,-3.35E-06,2.86155E-07,-0.000194682,-0.000189565,-5.21E-06,-749.7071935,-18124.57909,-0.000443148,-0.015782598,0.000285666,-53.04791784,-3811.43804,-17424.8095
"Conventional lime (commercial), short distance, building savings considered, avoided product Aggregate",Conventional lime (commercial),0,50,1,Aggregate,23.19757164,-18667.69994,-136.3867227,-18500.7821,-18.09501256,32166.54651,33641.83427,-1370.64129,-375904.2974,-1.563197259,0.423351961,-3.439197246,5.40253E-07,-1.25E-06,1.79306E-06,-4.09E-05,-3.78E-05,-3.16E-06,-566.8641851,-4245.325605,-0.00035273,-0.006448049,0.000563746,-5.055928206,-1930.836101,-17424.8095
"Conventional lime (commercial), short distance, building savings considered, avoided product Filler",Conventional lime (commercial),0,50,1,Filler,-29.96136311,-29095.85977,-146.3019855,-28913.70742,-23.41425309,-4166.336387,-1448.021105,-2613.668818,-523656.2713,-1.802963855,-9.566892373,-117.5002768,-9.29E-06,-8.92E-06,-3.70E-07,-0.000233807,-0.000220641,-1.33E-05,-810.9608705,-39494.74,-0.000699113,-0.22419381,0.000160389,-51.17443733,-5232.124515,-17424.8095
"Conventional lime (commercial), optimised transport",Conventional lime (commercial),1,200,0,None,59.67151569,16276.23287,28.88112232,16255.02752,4.760341393,56507.97849,54122.99366,2489.631302,149664.7644,0.349624032,7.112144175,77.8818118,4.76472E-06,2.72714E-06,2.03944E-06,9.18316E-05,8.81175E-05,3.62075E-06,151.3958608,35293.28447,0.000183091,0.016973225,0.000644377,42.04737957,843.6345528,5063.682038
"Conventional lime (commercial), optimised transport, avoided product SCM",Conventional lime (commercial),1,200,0,SCM,8.140607331,-9254.892475,23.30016896,-9267.405703,1.649170548,27344.48219,26216.73045,1232.398206,55072.53685,0.069473223,-8.166604466,-99.36027328,1.03095E-06,5.6258E-07,4.70239E-07,-6.36E-05,-6.51E-05,1.40188E-06,-38.73126565,18753.56035,8.98465E-05,0.006803267,0.000345338,-7.167384064,-1089.076886,4521.257796
"Conventional lime (commercial), optimised transport, avoided product Aggregate",Conventional lime (commercial),1,200,0,Aggregate,58.76910464,16132.7618,28.61598154,16111.89562,4.686305087,55517.52197,53178.78086,2443.387573,147481.8304,0.347853207,6.764846137,73.98544901,4.63422E-06,2.65895E-06,1.97714E-06,9.0139E-05,8.6595E-05,3.4506E-06,144.1117427,32632.81383,0.000180265,0.016137816,0.000623418,40.82460557,791.5250527,4521.257796
"Conventional lime (commercial), optimised transport, avoided product Filler",Conventional lime (commercial),1,200,0,Filler,5.610169896,5704.60197,18.70071872,5698.970298,-0.632935437,19184.63907,18088.92549,1200.360045,-270.1434839,0.108086612,-3.225398197,-40.07563054,-5.20E-06,-5.01E-06,-1.86E-07,-0.000102758,-9.62042E-05,-6.65E-06,-99.9849426,-2616.600562,-0.000166118,-0.201607945,0.000220061,-5.293903551,-2509.763362,4521.257796
