Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"MgO - Commercial, optimised transport, short distance, building savings considered",MgO - Commercial,1,50,1,None,-19.52628957,-29250.56759,-13.73627055,-29233.68166,-3.149666571,228156.0355,215565.8248,12590.21074,-545342.0053,-0.476183291,-3.506363962,-35.17084105,3.32775E-05,3.71439E-05,-3.86636E-06,0.000587828,0.000592853,-5.02516E-06,-2709.769774,7262.478445,-0.00043014,-0.017159773,0.002553847,-40.06043892,-1590.214654,-31125.70278
"MgO - Commercial, optimised transport, short distance, building savings considered, avoided product SCM",MgO - Commercial,1,50,1,SCM,-92.52237454,-65716.70995,-17.88044862,-65692.53333,-6.296166374,145478.7805,135163.4558,10315.32466,-676344.0691,-0.831312297,-24.95904251,-284.8749996,2.70639E-05,3.30877E-05,-6.0238E-06,0.00035966,0.000367187,-7.5264E-06,-2914.214677,-15721.36446,-0.000512269,-0.169434386,0.002108742,-108.3192167,-4025.03355,-31704.62658
"MgO - Commercial, optimised transport, short distance, building savings considered, avoided product Aggregate",MgO - Commercial,1,50,1,Aggregate,-22.9420684,-29741.91895,-14.0729247,-29724.34647,-3.499556722,224922.6729,212463.3462,12459.32665,-551974.0241,-0.483993009,-4.679901597,-48.08535655,3.29002E-05,3.69804E-05,-4.08024E-06,0.00058318,0.000588604,-5.42401E-06,-2715.421077,-24887.02009,-0.000437138,-0.019118809,0.00249417,-44.12594499,-1710.690283,-31704.62658
"MgO - Commercial, optimised transport, short distance, building savings considered, avoided product Filler",MgO - Commercial,1,50,1,Filler,-19.52628957,-29250.56759,-13.73627055,-29233.68166,-3.149666571,228156.0355,215565.8248,12590.21074,-545342.0053,-0.476183291,-3.506363962,-35.17084105,3.32775E-05,3.71439E-05,-3.86636E-06,0.000587828,0.000592853,-5.02516E-06,-2709.769774,7262.478445,-0.00043014,-0.017159773,0.002553847,-40.06043892,-1590.214654,-31125.70278
MgO - Renewable,MgO - Renewable,0,200,0,None,79.67215235,15700.18352,6.27767083,15686.77798,7.127877588,320591.0874,301754.0861,18837.00134,175331.3664,0.306162385,19.27242605,216.3121906,5.38584E-05,4.37162E-05,1.01422E-05,0.000806227,0.000798253,7.97351E-06,112.6123507,87155.55346,0.000211134,0.085074326,0.003620524,79.01116689,1895.217206,7931.928655
"MgO - Renewable, avoided product SCM",MgO - Renewable,0,200,0,SCM,6.67606738,-20765.95883,2.133492756,-20772.0737,3.981377785,237913.8324,221351.7172,16562.11526,44329.30267,-0.048966622,-2.180252497,-33.39196794,4.76447E-05,3.966E-05,7.98472E-06,0.000578059,0.000572587,5.47228E-06,-91.83255259,64171.71056,0.000129006,-0.067200288,0.003175419,10.75238913,-539.6016896,7353.004858
"MgO - Renewable, avoided product Aggregate",MgO - Renewable,0,200,0,Aggregate,76.25637352,15208.83217,5.941016676,15196.11317,6.777987437,317357.7248,298651.6075,18706.11725,168699.3476,0.298352666,18.09888842,203.3976751,5.3481E-05,4.35527E-05,9.92828E-06,0.000801579,0.000794004,7.57466E-06,106.9610478,55006.05492,0.000204137,0.083115289,0.003560847,74.94566082,1774.741578,7353.004858
"MgO - Renewable, avoided product Filler",MgO - Renewable,0,200,0,Filler,79.67215235,15700.18352,6.27767083,15686.77798,7.127877588,320591.0874,301754.0861,18837.00134,175331.3664,0.306162385,19.27242605,216.3121906,5.38584E-05,4.37162E-05,1.01422E-05,0.000806227,0.000798253,7.97351E-06,112.6123507,87155.55346,0.000211134,0.085074326,0.003620524,79.01116689,1895.217206,7931.928655
"MgO - Renewable, building savings considered",MgO - Renewable,0,200,1,None,16.54220628,-21762.81254,-9.807421486,-21755.27719,2.272067297,286733.944,272036.1065,14697.83752,-444465.497,-0.399239919,8.361195319,93.77351508,4.46071E-05,3.98856E-05,4.72153E-06,0.000678668,0.000678688,-1.92292E-08,-2783.716521,60732.13,-0.000302295,0.04610086,0.003357745,9.566289054,-966.4582418,-28699.18447
"MgO - Renewable, building savings considered, avoided product SCM",MgO - Renewable,0,200,1,SCM,-56.45387869,-58228.95489,-13.95159956,-58214.12886,-0.874432506,204056.689,191633.7376,12422.95144,-575467.5607,-0.754368925,-13.09148323,-155.9306434,3.83935E-05,3.58294E-05,2.5641E-06,0.000450501,0.000453021,-2.52047E-06,-2988.161424,37748.2871,-0.000384423,-0.106173754,0.002912639,-58.69248871,-3401.277137,-29278.10827
